,rule,alpha,d_ini,level_3,count,actual_run_num,System_entropy
10034,130,0.65,0.9,mean,0,13.082,3.4386387967976426
10035,130,0.7,0.1,mean,0,5.308,1.6944406372106529
10036,130,0.7,0.2,mean,0,6.485,2.174308258878297
10037,130,0.7,0.3,mean,0,7.454,2.4158071775447407
10038,130,0.7,0.4,mean,0,7.864,2.5422701658828535
10039,130,0.7,0.5,mean,0,8.458,2.699585282436561
10040,130,0.7,0.6,mean,0,8.657,2.771331376569696
10041,130,0.7,0.7,mean,0,9.474,2.9357358879509516
10042,130,0.7,0.8,mean,0,10.846,3.1745605972259265
10043,130,0.7,0.9,mean,0,12.788,3.443882035314875
10044,130,0.75,0.1,mean,0,5.836,1.8254508945786498
10045,130,0.75,0.2,mean,0,7.293,2.3053108625150713
10046,130,0.75,0.3,mean,0,8.147,2.5822541722617705
10047,130,0.75,0.4,mean,0,8.476,2.6220375694274662
10048,130,0.75,0.5,mean,0,8.715,2.7293888384556273
10049,130,0.75,0.6,mean,0,8.948,2.7894145347109807
10050,130,0.75,0.7,mean,0,9.714,2.973732352295421
10051,130,0.75,0.8,mean,0,10.796,3.1829054968170807
10052,130,0.75,0.9,mean,0,13.051,3.468248893545759
10053,130,0.8,0.1,mean,0,6.321,1.9946523514033823
10054,130,0.8,0.2,mean,0,8.365,2.44634391574694
10055,130,0.8,0.3,mean,0,8.882,2.65682775013951
10056,130,0.8,0.4,mean,0,9.486,2.7766858783773674
10057,130,0.8,0.5,mean,0,10.044,2.8491712197779764
10058,130,0.8,0.6,mean,0,9.78,2.8883454839408733
10059,130,0.8,0.7,mean,0,10.406,3.033077256568565
10060,130,0.8,0.8,mean,0,11.65,3.232860592580911
10061,130,0.8,0.9,mean,0,13.977,3.5427830100106155
10062,130,0.85,0.1,mean,0,8.129,2.2589000454985237
10063,130,0.85,0.2,mean,0,10.05,2.7057864266628857
10064,130,0.85,0.3,mean,0,10.457,2.8579490215655823
10065,130,0.85,0.4,mean,0,11.246,2.9530744266647706
10066,130,0.85,0.5,mean,0,10.998,2.98432145026242
10067,130,0.85,0.6,mean,0,11.742,3.0126379797711293
10068,130,0.85,0.7,mean,0,12.455,3.2099790965064683
10069,130,0.85,0.8,mean,0,14.089,3.4235137501766655
10070,130,0.85,0.9,mean,0,15.376,3.670490447496009
10071,130,0.9,0.1,mean,0,11.403,2.524476493936707
10072,130,0.9,0.2,mean,0,13.485,2.9672132815041063
10073,130,0.9,0.3,mean,0,14.918,3.1251083365677874
10074,130,0.9,0.4,mean,0,14.687,3.177037107345439
10075,130,0.9,0.5,mean,0,14.84,3.2076255302623347
